"F_TAZ","PM_VEH","CGST_TIME","CGST_DIST","FREE_TIME","FREE_DIST","MPH","PMT","PHT","LENGTH","TRIP_DENSITY","RFP_bound","CNTY_NM","RFP_zone","scenario"
329,0.15,96.75,79.79,97.21,79.79,48.7496777519979,0.9455,0.019395,6.30333333333333,0.158646218931782,1,"NewCa E","Study Area","2019_base_121520"
153,0.62,303.05,241.92,303.52,242.62,50.8226213620405,8.7575,0.172315,14.125,0.0707964601769911,1,"NewCa W","Study Area","2019_base_121520"
150,11.8,2456.68,1975.88,2459.67,1982.31,48.0404077806964,103.7901,2.160475,8.79577118644068,0.113690997503615,1,"NewCa E","Study Area","2019_base_121520"
228,25.86,3107.93,2630.05,3120.69,2629.76,50.8093055443281,224.1776,4.41213666666667,8.66889404485692,0.115354968560641,1,"NewCa E","Study Area","2019_base_121520"
155,38.12,4070.68,3175.32,4094.23,3175.63,47.3073173732941,387.0173,8.18091833333333,10.1526049317943,0.098496888898765,1,"NewCa W","Study Area","2019_base_121520"
223,38.82,3293.73,2717.73,3306.48,2717.69,52.2954034660887,426.7413,8.16020666666667,10.9928207109737,0.0909684626259516,1,"NewCa W","Study Area","2019_base_121520"
237,52.27,3726.31,2800.88,3749.87,2801.41,46.7504912473607,478.8878,10.2434816666667,9.16180983355653,0.10914874005978,1,"NewCa E","Study Area","2019_base_121520"
229,67.26,4409.49,3677.19,4423.17,3676.16,51.2978899532895,674.9413,13.1572916666667,10.0348096937258,0.0996531105742085,1,"NewCa W","Study Area","2019_base_121520"
345,67.87,11836.27,10828.71,11842.98,10832.04,55.8064257240788,1359.4303,24.359745,20.0299145425077,0.0499253253366502,1,"NewCa W","Study Area","2019_base_121520"
142,73.31,4413.53,3389.2,4426.98,3389.47,44.2895731078637,665.9674,15.0366633333333,9.08426408402674,0.110080463398058,1,"NewCa W","Study Area","2019_base_121520"
158,75.7,4820.27,3786.78,4848.14,3787.54,48.2036926962606,898.4099,18.6377816666667,11.8680303830911,0.0842599797709264,1,"NewCa W","Study Area","2019_base_121520"
224,81.69,2908.53,2319.1,2919.66,2319.35,49.6760111632176,857.3317,17.258465,10.494940629208,0.0952840073451151,1,"NewCa W","Study Area","2019_base_121520"
152,175.01,5576.75,4563.56,5594.86,4570.34,49.2349178793236,1720.3601,34.94187,9.83006742471859,0.101728702031627,1,"NewCa W","Study Area","2019_base_121520"
318,249.16,6625.81,5944.77,6639.59,5944.02,51.981481736216,2261.0509,43.4972383333333,9.07469457376786,0.110196546216629,1,"NewCa W","Study Area","2019_base_121520"
226,283.15,5247.46,4368.17,5257.65,4367.69,52.0533735684361,3614.2801,69.4341183333333,12.7645421154865,0.0783420189265353,1,"NewCa E","Study Area","2019_base_121520"
344,329.43,22609.65,20704.52,22628.5,20708.98,54.5066191610178,6647.3085,121.954151666667,20.1782123668154,0.0495584039765869,1,"NewCa W","Study Area","2019_base_121520"
238,413.15,13198.72,11591.37,13217.26,11595.05,48.6197478456291,4967.4516,102.169423333333,12.0233610068982,0.0831714193249512,1,"NewCa E","Study Area","2019_base_121520"
151,450.3,7999.02,6823.32,8032.82,6823.76,47.2927716777967,3866.8852,81.764825,8.58735332000888,0.116450315101157,1,"NewCa W","Study Area","2019_base_121520"
327,572.95,9610.55,8011.45,9595.38,8010.4,48.5953616192095,6798.549,139.901191666667,11.8658678767781,0.0842753358106267,1,"NewCa W","Study Area","2019_base_121520"
154,1095.72,29678.53,26947,29559.59,27073.42,53.2845793108308,19468.5728,365.369738333333,17.7678355784324,0.056281475342661,1,"NewCa W","Study Area","2019_base_121520"
222,1158.3,6888.63,5812.23,6915.17,5810.74,51.5997502489217,12204.5537,236.523503333333,10.5366085642752,0.0949071984500343,1,"NewCa W","Study Area","2019_base_121520"
164,1182.84,30885.96,28471.21,30964.32,28475.74,51.5081988441777,18161.8383,352.60092,15.3544336512123,0.0651277684814538,1,"NewCa E","Study Area","2019_base_121520"
227,1826.65,7146.44,6246.92,7170.78,6248.73,52.2626277125038,19502.5907,373.165138333333,10.6766981633044,0.0936619153885027,1,"NewCa E","Study Area","2019_base_121520"
149,3086.8,11094.19,10225.94,11131.79,10227.11,51.1999256082797,28511.8054,556.872008333333,9.23668698976286,0.108263926352415,1,"NewCa E","Study Area","2019_base_121520"
329,3.76,1177.41,630.95,775.15,613.13,28.3039170251235,28.9083,1.02135333333333,7.68837765957447,0.130066451503547,1,"NewCa E","Study Area","tp1_bau_2050_121520"
225,15.58,5945.02,3630.43,4261,3618.31,32.3390672523871,173.4162,5.36243666666667,11.1306931964056,0.0898416641582505,1,"NewCa W","Study Area","tp1_bau_2050_121520"
345,128.04,13196.99,7376.32,8268.45,7314.22,30.1778280599902,1439.5166,47.7011333333333,11.2427100905967,0.0889465255211368,1,"NewCa W","Study Area","tp1_bau_2050_121520"
224,137.1,18577.8,10877.67,11971.85,10798.67,32.1832386447947,2015.2458,62.6178683333333,14.6990940919037,0.0680314034149085,1,"NewCa W","Study Area","tp1_bau_2050_121520"
153,198.59,25819.65,16016.84,18198.46,15980.55,33.0024115287192,4021.0048,121.839726666667,20.2477707840274,0.049388152931327,1,"NewCa W","Study Area","tp1_bau_2050_121520"
228,283.85,12203.79,6242.29,6876.94,6206.89,29.0710742298918,3052.6363,105.005968333333,10.7543995067818,0.0929852010211633,1,"NewCa E","Study Area","tp1_bau_2050_121520"
223,465.32,15540.01,7931.21,8749.02,7925.02,28.1249640473284,5891.527,209.476783333333,12.6612374280065,0.0789812216764856,1,"NewCa W","Study Area","tp1_bau_2050_121520"
155,526.56,35090.09,20243.81,22734.14,20192.14,29.5936129864601,7768.1857,262.495346666667,14.7527075736858,0.0677841674150503,1,"NewCa W","Study Area","tp1_bau_2050_121520"
150,627.53,34681.15,20424.23,22134.64,20529.77,32.509782380043,8772.9024,269.854233333333,13.9800525871273,0.0715304891571574,1,"NewCa E","Study Area","tp1_bau_2050_121520"
237,693.7,35024.55,20247.46,22647.45,20147.33,28.5086957056731,9653.6478,338.621166666667,13.9161709672769,0.0718588469738869,1,"NewCa E","Study Area","tp1_bau_2050_121520"
344,760.07,33179.5,19080.08,20600.5,19017.42,31.0139256651674,10442.7567,336.711863333333,13.7392038891155,0.0727844209948892,1,"NewCa W","Study Area","tp1_bau_2050_121520"
229,976.94,20431.19,10614.31,11327.68,10517.83,29.2670222573573,12650.783,432.253848333333,12.9493960734538,0.0772236785659828,1,"NewCa W","Study Area","tp1_bau_2050_121520"
226,1036.04,20181.17,10385.33,11184.18,10316.66,28.2801427488106,12742.7918,450.591495,12.2995172001081,0.0813040043548385,1,"NewCa E","Study Area","tp1_bau_2050_121520"
238,1117.32,28520.9,15657.67,17131.47,15721.58,28.699593336224,13229.0422,460.948768333333,11.8399761930333,0.0844596292844239,1,"NewCa E","Study Area","tp1_bau_2050_121520"
158,1118.44,40857.3,23812.53,26879.27,23608.88,28.7002197819317,18717.5291,652.17372,16.7353895604592,0.0597536135258366,1,"NewCa W","Study Area","tp1_bau_2050_121520"
222,1447.12,27710.82,14979.91,16033.35,14868.76,28.753592137699,18767.7969,652.711383333333,12.9690674581237,0.0771065462670261,1,"NewCa W","Study Area","tp1_bau_2050_121520"
318,1521.09,29541.4,16471.26,17089.02,16413.67,30.1842945561337,18296.9889,606.1758,12.0288667337238,0.0831333509744874,1,"NewCa W","Study Area","tp1_bau_2050_121520"
164,1530.96,41371.41,24132.49,25872.19,23963.98,31.3905537099566,20925.0164,666.602335,13.6679053665674,0.0731641003636203,1,"NewCa E","Study Area","tp1_bau_2050_121520"
142,1593.12,47147.86,27164.19,29200.43,26923.31,30.4745650619847,22872.6426,750.548615,14.3571373154565,0.0696517681782865,1,"NewCa W","Study Area","tp1_bau_2050_121520"
154,1912.78,43713.25,25246.19,27282.75,25182.85,30.6441396200323,27730.0179,904.904436666667,14.4972332939491,0.0689786788778092,1,"NewCa W","Study Area","tp1_bau_2050_121520"
152,2671.5,47433.01,27450.14,29711.73,27196.52,29.5273383345661,36992.1909,1252.81156333333,13.8469739472207,0.0722179447879093,1,"NewCa W","Study Area","tp1_bau_2050_121520"
149,2691.72,27268.05,14642.41,15147.16,14599.44,29.3044672710812,32983.9965,1125.56205833333,12.2538735455397,0.0816068483393151,1,"NewCa E","Study Area","tp1_bau_2050_121520"
327,2955.46,44215.07,25109.93,27720.5,25165.79,27.320295796179,39964.9799,1462.83115666667,13.5224228715665,0.0739512444994374,1,"NewCa W","Study Area","tp1_bau_2050_121520"
227,3532.82,26101.41,13854.75,14509.22,13796.74,29.0683380105822,43132.1238,1483.81802166667,12.2089786063258,0.0819069335973667,1,"NewCa E","Study Area","tp1_bau_2050_121520"
151,12118.57,51462.82,30087.19,30721.66,29878.1,29.5079021987068,163995.4684,5557.67967833333,13.5325759062332,0.0738957613782455,1,"NewCa W","Study Area","tp1_bau_2050_121520"
329,3.95,1167.65,623.6,766.74,606.23,28.3129941643844,29.2561,1.03331,7.40660759493671,0.13501457815635,1,"NewCa E","Study Area","tp1_c_2050_121520"
225,15.6,6147.12,3732.82,4404.89,3695.46,31.4369450541399,181.6357,5.77777833333333,11.6433141025641,0.0858861996843132,1,"NewCa W","Study Area","tp1_c_2050_121520"
345,127.98,12553.46,7021.12,7900.33,6971.91,30.0298332788763,1415.213,47.1269016666667,11.0580793874043,0.0904316170074752,1,"NewCa W","Study Area","tp1_c_2050_121520"
224,136.73,19057.95,11244.4,12349.32,11140.62,32.2528431356261,1976.8955,61.2936816666667,14.4583887954363,0.0691639998168846,1,"NewCa W","Study Area","tp1_c_2050_121520"
153,197.18,26285.66,16390.87,18597.98,16370.05,32.7663368312014,4014.9072,122.531463333333,20.3616350542651,0.0491119695120226,1,"NewCa W","Study Area","tp1_c_2050_121520"
228,285.69,12404.34,6375.98,7004.28,6342.14,28.9321716216064,2941.7246,101.676591666667,10.2969113374637,0.0971165009804113,1,"NewCa E","Study Area","tp1_c_2050_121520"
223,466.66,15720.55,8070.26,8936.02,8049.1,27.993559225574,5794.3467,206.988566666667,12.4166345947799,0.0805371207767046,1,"NewCa W","Study Area","tp1_c_2050_121520"
155,527.3,35044.5,20400.19,22900.78,20354.71,29.6103587114441,7668.863,258.992573333333,14.5436430874265,0.0687585630360068,1,"NewCa W","Study Area","tp1_c_2050_121520"
150,626.44,34593.05,20566.64,22296.24,20672.57,32.4760629890664,8633.7837,265.850688333333,13.7822995019475,0.0725568327591992,1,"NewCa E","Study Area","tp1_c_2050_121520"
237,692.88,34913.67,20333.08,22769.65,20237.71,28.3347428216941,9383.0643,331.150501666667,13.5421202805681,0.0738436802569924,1,"NewCa E","Study Area","tp1_c_2050_121520"
