"F_TAZ","PM_VEH","CGST_TIME","CGST_DIST","FREE_TIME","FREE_DIST","MPH","PMT","PHT","LENGTH","TRIP_DENSITY","RFP_bound","CNTY_NM","RFP_zone"
187,2.16,48124.11,43297.46,48649.62,43322.52,48.2905477892027,24.3823,0.504908333333333,11.2881018518519,0.088588853389549,0,"NewCa E","NCC (Outside Study Area)"
286,4.65,49110.61,44776.42,49151.72,44808.99,51.20000211052,64.6918,1.26351166666667,13.9122150537634,0.0718792799087365,0,"NewCa S","NCC (Outside Study Area)"
287,6.41,48537.81,44305.25,48615.09,44319.19,50.8053841789485,94.7694,1.86534166666667,14.7846177847114,0.067637866231083,0,"NewCa S","NCC (Outside Study Area)"
295,6.63,45078.41,40328.96,45386.91,40706.88,49.4646019835391,64.8875,1.31179666666667,9.7869532428356,0.102176844538625,0,"NewCa S","NCC (Outside Study Area)"
285,8.37,48805.97,44598.77,48846.96,44631.32,50.9778364476798,119.3279,2.34078,14.2566188769415,0.0701428584597567,0,"NewCa S","NCC (Outside Study Area)"
343,9.88,55818.77,49454.93,55002.98,49362.62,43.2874175660607,85.7909,1.98189,8.68328947368421,0.115163729486461,0,"NewCa W","NCC (Outside Study Area)"
268,12.61,49808.13,41816.04,49296.21,42606.56,46.4281780482327,162.2825,3.495345,12.8693497224425,0.0777040038204982,0,"NewCa S","NCC (Outside Study Area)"
195,13.8,47271.19,43403.17,47424.49,43478.66,51.5483584391833,198.0579,3.84217666666667,14.3520217391304,0.0696765945715874,0,"NewCa S","NCC (Outside Study Area)"
299,13.82,46198.01,40261.43,47215.95,40308.23,47.8377308921657,176.5056,3.68967333333333,12.7717510853835,0.0782977990500018,0,"NewCa S","NCC (Outside Study Area)"
292,14.06,47530.89,41553.12,48160.06,41609.75,50.1488819948868,193.8999,3.866485,13.7908890469417,0.0725116413159574,0,"NewCa S","NCC (Outside Study Area)"
306,17.17,47508.2,41750.8,48710.92,41405.18,49.7330529978975,257.238,5.172375,14.9818287711124,0.0667475256377363,0,"NewCa S","NCC (Outside Study Area)"
294,18.36,46792.81,41083.36,47250.03,41145.86,46.2323998665873,219.0112,4.73718,11.9287145969499,0.0838313291740331,0,"NewCa S","NCC (Outside Study Area)"
91,21.91,55799.56,50981.32,55543.17,51850.45,42.7990526826333,185.8974,4.34349333333333,8.4845915107257,0.117860712414482,0,"NewCa E","NCC (Outside Study Area)"
284,23.63,46993.39,43123.6,47346.7,43192.5,52.3674242520498,343.4624,6.55870333333333,14.5350148116801,0.0687993794953975,0,"NewCa S","NCC (Outside Study Area)"
347,24.38,48067.2,43730.11,47392.92,43896.17,47.5059187718796,251.5246,5.294595,10.3168416735029,0.0969288888641509,0,"NewCa W","NCC (Outside Study Area)"
252,24.51,51008.59,45791.18,51567.97,45795.58,47.2515656763288,313.7552,6.64010166666667,12.801109751122,0.0781182272038838,0,"NewCa W","NCC (Outside Study Area)"
349,29.09,44331.87,40285.17,44802.27,40349.1,50.349304492762,295.4326,5.86766,10.1558129941561,0.0984657752732772,0,"NewCa S","NCC (Outside Study Area)"
201,31.46,50981.38,41817.29,51439.93,41889.01,47.8801248065673,619.6467,12.9416266666667,19.6963350286078,0.0507708666890343,0,"NewCa S","NCC (Outside Study Area)"
283,31.97,46402.56,42779.03,46756.08,42847.94,52.9888843779635,458.5598,8.65388666666667,14.3434407256803,0.0697182788373512,0,"NewCa S","NCC (Outside Study Area)"
215,32.13,49673.35,44220.99,50086.33,44269.86,45.6996890410638,436.1394,9.54359666666667,13.5742110177404,0.0736691067122117,0,"NewCa S","NCC (Outside Study Area)"
216,33.42,47441.7,41577.41,47637.79,41436.81,46.1546821108887,350.8072,7.600685,10.4969239976062,0.0952660036624106,0,"NewCa S","NCC (Outside Study Area)"
311,34.1,47987.1,43565.08,48456.01,43568.71,48.7580977357614,436.5371,8.95312,12.8016744868035,0.0781147810804626,0,"NewCa S","NCC (Outside Study Area)"
301,34.64,45056.18,40165.32,46317.23,40195,50.9746373688511,492.8109,9.66776666666667,14.2266426096998,0.0702906530679415,0,"NewCa S","NCC (Outside Study Area)"
298,35.1,45590.78,40199.83,46678.02,40247.9,49.0976960986212,424.7715,8.65155666666667,12.1017521367521,0.0826326625020747,0,"NewCa S","NCC (Outside Study Area)"
282,36.52,46148.13,42269.06,46791.38,42316.44,50.9181019452933,449.5168,8.82823166666667,12.3087842278204,0.0812427922604895,0,"NewCa S","NCC (Outside Study Area)"
129,39.83,58441.3,54898.83,58491.18,54911.38,45.0417431120729,287.2357,6.3771,7.21154155159428,0.138666607249726,0,"NewCa E","NCC (Outside Study Area)"
290,42.11,49355.23,42308.32,50287.55,41810.54,45.696594709375,501.4544,10.9735616666667,11.9082023272382,0.0839757313925254,0,"NewCa S","NCC (Outside Study Area)"
273,42.78,48305.97,41852.06,48626.92,41938.73,47.6152519058233,608.706,12.783845,14.2287517531557,0.0702802338074538,0,"NewCa S","NCC (Outside Study Area)"
203,43.79,52861.84,46573.24,53541.34,46583.14,45.4456182776054,570.0509,12.5435833333333,13.0178328385476,0.0768177017175133,0,"NewCa W","NCC (Outside Study Area)"
193,45.75,50148.62,42691.36,50522.29,42704.66,46.8242932217614,615.4159,13.14309,13.4517136612022,0.0743399707417374,0,"NewCa S","NCC (Outside Study Area)"
281,47,48757.7,43294.46,49022.63,43355.17,45.8511128964781,598.9524,13.062985,12.7436680851064,0.0784703425514281,0,"NewCa S","NCC (Outside Study Area)"
177,48.82,56297.17,49786.43,55499.01,49688.95,44.6462010509466,558.9909,12.5204583333333,11.450038918476,0.0873359476871627,0,"NewCa W","NCC (Outside Study Area)"
