"F_TAZ","PM_VEH","CGST_TIME","CGST_DIST","FREE_TIME","FREE_DIST","MPH","PMT","PHT","LENGTH","TRIP_DENSITY","RFP_bound","CNTY_NM","RFP_zone"
286,0.82,681.03,452.06,541.59,441.97,40.6255594835303,8.9253,0.219696666666667,10.8845121951219,0.0918736625099437,0,"NewCa S","NCC (Outside Study Area)"
285,3.68,4005.67,2844.78,3277.84,2794.45,42.5089635224982,67.1648,1.580015,18.2513043478261,0.0547906046024108,0,"NewCa S","NCC (Outside Study Area)"
187,5.43,4368.32,2986.91,3467.69,2881.51,38.277597536761,90.3158,2.359495,16.632744014733,0.0601223706151083,0,"NewCa E","NCC (Outside Study Area)"
295,5.68,3235.96,2225.44,2591.57,2219.65,39.9485613706017,69.7151,1.74512166666667,12.2737852112676,0.081474458187681,0,"NewCa S","NCC (Outside Study Area)"
287,6.2,5219.54,3756.6,4362.19,3691.26,43.0833572801154,118.1928,2.74335166666667,19.0633548387097,0.052456664026912,0,"NewCa S","NCC (Outside Study Area)"
299,16.85,9538.02,6581.39,7857.02,6496.55,37.914552784265,321.1786,8.47111666666667,19.0610445103858,0.0524630221316115,0,"NewCa S","NCC (Outside Study Area)"
343,17.66,11476.05,6883.02,8309.57,6765.16,29.98559296232,270.6751,9.02683833333333,15.3270158550396,0.0652442725614584,0,"NewCa W","NCC (Outside Study Area)"
91,17.84,4109.59,2125,2896.57,2106.04,30.1691595429197,144.4257,4.78719666666667,8.09561098654709,0.123523721886063,0,"NewCa E","NCC (Outside Study Area)"
268,18.66,7735.91,5269.89,6404.57,5228.5,37.7989170797791,443.6377,11.7367833333333,23.7747963558414,0.0420613487086422,0,"NewCa S","NCC (Outside Study Area)"
294,23.46,9321.65,6445.36,7725.45,6424.13,37.2276721962163,359.534,9.65770833333333,15.3254049445865,0.0652511306302047,0,"NewCa S","NCC (Outside Study Area)"
306,25.6,14430.32,10355.47,12078.18,10323.21,39.4624311349965,623.659,15.8038666666667,24.3616796875,0.0410480727448814,0,"NewCa S","NCC (Outside Study Area)"
195,27.65,9927.33,7109.48,8319.77,7053.31,42.4298203770774,507.3055,11.9563433333333,18.3473960216998,0.0545036472106058,0,"NewCa S","NCC (Outside Study Area)"
201,32.7,17397.97,12424.78,14886.27,12322.69,39.992906585966,783.3108,19.5862433333333,23.9544587155963,0.0417458817113207,0,"NewCa S","NCC (Outside Study Area)"
215,33.62,12092.56,8061.48,9929.61,8066.99,37.8588729944918,754.5905,19.9316683333333,22.4446906603212,0.0445539666878923,0,"NewCa S","NCC (Outside Study Area)"
311,36.75,14273.99,9689.31,11457.4,9668.42,38.0407799701194,811.7238,21.3382533333333,22.0877224489796,0.0452740205473832,0,"NewCa S","NCC (Outside Study Area)"
290,37.09,12124.1,8438.74,10086.53,8314.05,37.7908083751947,658.4758,17.4242316666667,17.7534591534106,0.0563270510472822,0,"NewCa S","NCC (Outside Study Area)"
292,43.23,15689.86,11334.01,13024.45,11188.32,39.6732046677866,1041.8007,26.259555,24.0990215128383,0.0414954606960813,0,"NewCa S","NCC (Outside Study Area)"
283,43.48,11748.19,8369.86,9691.27,8258.84,41.4386585572479,883.7247,21.3260933333333,20.3248551057958,0.0492008427511418,0,"NewCa S","NCC (Outside Study Area)"
301,44.35,15180.44,10771.27,12521.29,10720.23,39.1584073760143,880.8501,22.4945333333333,19.8613325817362,0.0503490889085441,0,"NewCa S","NCC (Outside Study Area)"
298,45.45,13313.42,9565.27,10989.86,9516.21,38.7843341662315,663.8432,17.1162716666667,14.6060110011001,0.068464962810495,0,"NewCa S","NCC (Outside Study Area)"
129,48.66,13111.05,8271.4,9348.48,8233.65,35.0998500098233,591.3542,16.84777,12.1527784628031,0.0822857096474499,0,"NewCa E","NCC (Outside Study Area)"
273,50.36,15343.11,10926.76,12782.44,10882.8,40.837917429672,1047.5162,25.6505783333333,20.8005599682288,0.0480756288065044,0,"NewCa S","NCC (Outside Study Area)"
177,54.48,20510.77,12078.53,14453.38,11835.47,27.9510021542161,938.6131,33.58066,17.2285811306902,0.0580430850581566,0,"NewCa W","NCC (Outside Study Area)"
337,57.23,18379.66,12923.45,15142.67,12803.28,38.2768180153429,1514.3691,39.56361,26.4611060632535,0.0377913152084257,0,"NewCa S","NCC (Outside Study Area)"
214,58.59,9301.72,6317.51,7519.31,6133.62,35.7235849857665,715.9088,20.0402283333333,12.2189588667008,0.0818400332556326,0,"NewCa S","NCC (Outside Study Area)"
289,59.16,19426.64,13665.65,16270.88,13500.67,38.5016900061555,1401.0919,36.3904,23.6830949966193,0.0422242109885868,0,"NewCa S","NCC (Outside Study Area)"
330,59.17,10820.04,7147.38,7981.55,7075.85,37.0929350705039,866.7644,23.3673716666667,14.6487138752746,0.068265378688834,0,"NewCa E","NCC (Outside Study Area)"
347,60.71,11081.87,7208.21,8514.6,7047.89,38.1126538727005,1198.5231,31.446855,19.741774007577,0.0506540090883522,0,"NewCa W","NCC (Outside Study Area)"
203,65.6,20240.91,13107.26,15702.02,13063.6,34.9954399061063,1332.1272,38.0657366666667,20.3068170731707,0.0492445466168696,0,"NewCa W","NCC (Outside Study Area)"
205,68.45,14828.98,9291.71,11368.17,9124.79,35.4763129850341,1177.2873,33.185165,17.1992300949598,0.0581421374374802,0,"NewCa W","NCC (Outside Study Area)"
305,70.45,18147.67,12819.02,14805.43,12820.58,39.1663196499614,1179.2909,30.1098216666667,16.7394024130589,0.0597392890931322,0,"NewCa S","NCC (Outside Study Area)"
288,70.67,15802.62,11527.97,13121.9,11402.23,42.6430090832167,1306.2543,30.63232,18.4838587802462,0.0541012573126075,0,"NewCa S","NCC (Outside Study Area)"
196,70.99,22948.16,16516.45,19766.79,16354.22,38.3925664966507,1868.8523,48.6774516666667,26.3255712072123,0.0379858804251144,0,"NewCa S","NCC (Outside Study Area)"
198,72.1,14624.72,10275.31,11979.95,10205.69,37.7282276892883,1069.3382,28.3431866666667,14.8313203883495,0.0674248801735503,0,"NewCa S","NCC (Outside Study Area)"
3,73.49,13519.91,7766.86,8805.55,7731.99,31.9688274316201,710.2573,22.2171833333333,9.66467954823786,0.103469545473169,0,"NewCa E","NCC (Outside Study Area)"
317,73.8,21191.99,12753.89,15237.64,12541.7,30.6354525962626,1408.3862,45.97243,19.0838238482385,0.0524003998335116,0,"NewCa W","NCC (Outside Study Area)"
293,75.17,18540.25,13210.38,15491.62,13027.53,39.3246124924007,1799.2983,45.7550166666667,23.9363881867766,0.0417773973331715,0,"NewCa S","NCC (Outside Study Area)"
217,75.74,15621.46,10494.85,12371.61,10525.57,37.261635519489,1205.8159,32.3607883333333,15.9204634275152,0.0628122419019354,0,"NewCa S","NCC (Outside Study Area)"
349,75.75,16250.72,12074.32,13139.64,12009.69,42.2646067340633,1280.5227,30.297755,16.9045900990099,0.0591555307844211,0,"NewCa S","NCC (Outside Study Area)"
322,78.87,22189.79,16283.76,19242.44,16003.91,38.2843796161066,2113.0669,55.19397,26.7917700012679,0.0373248949193232,0,"NewCa S","NCC (Outside Study Area)"
262,83.01,19788.15,12726.14,15207.74,12626.37,35.7679319366828,1672.2769,46.753525,20.1454872906879,0.0496389084845937,0,"NewCa W","NCC (Outside Study Area)"
272,83.66,17753.51,12965.75,14645.86,12987.38,42.773446497707,1880.1715,43.9565116666667,22.4739600765001,0.0444959409287929,0,"NewCa S","NCC (Outside Study Area)"
297,85.7,19549.71,13613.21,15980.8,13350.88,38.1192197002995,1639.5814,43.011935,19.1316382730455,0.0522694390165685,0,"NewCa S","NCC (Outside Study Area)"
186,88.31,17045.53,11352.39,13657.84,11113.1,37.938106897607,2004.3871,52.8330816666667,22.6971701959008,0.0440583557936488,0,"NewCa W","NCC (Outside Study Area)"
185,88.58,17060.16,11396.72,13242.66,11260.44,37.6799759554026,1810.2989,48.0440566666667,20.4368807857304,0.0489311461217813,0,"NewCa W","NCC (Outside Study Area)"
282,89.47,12464.24,8398.07,9765.11,8296.03,36.9898677054754,1249.0958,33.7685933333333,13.9610573376551,0.0716278126945908,0,"NewCa S","NCC (Outside Study Area)"
284,94.26,17426.43,12385.22,14161.58,12216.86,42.4401422515859,2102.0838,49.530555,22.3009102482495,0.0448412189847046,0,"NewCa S","NCC (Outside Study Area)"
252,95.26,23191.56,15268.54,17877.49,15152.46,36.1923597109904,2003.5124,55.35733,21.0320428301491,0.0475464988387394,0,"NewCa W","NCC (Outside Study Area)"
216,96.49,16729.12,11586.33,13547.08,11525.02,38.2312935247733,1514.0253,39.6017283333333,15.6910073582755,0.0637307712097017,0,"NewCa S","NCC (Outside Study Area)"
342,99.96,16477.72,10126.78,11494.26,9967.27,33.0810907591743,1273.0267,38.482005,12.7353611444578,0.0785215266891103,0,"NewCa E","NCC (Outside Study Area)"
269,102.75,17633.42,12699.12,14485.55,12652.55,39.2438434223236,1764.0676,44.9514483333333,17.1685411192214,0.0582460672142043,0,"NewCa S","NCC (Outside Study Area)"
