"F_TAZ","T_TAZ","PM_VEH","CGST_TIME","CGST_DIST","FREE_TIME","FREE_DIST","MPH","PMT","PHT"
1,142,1.07,14.4,8.82,14.4,8.82,36.75,9.4374,0.2568
1,149,4.38,9.96,8.19,9.96,8.19,49.3373493975904,35.8722,0.72708
1,150,0.12,10.77,8.66,10.77,8.66,48.2451253481894,1.0392,0.02154
1,151,7,11.48,9.08,11.48,9.08,47.4564459930314,63.56,1.33933333333333
1,152,2.17,13.28,10.77,13.28,10.77,48.6596385542169,23.3709,0.480293333333333
1,153,0.01,15.11,11.57,15.11,11.57,45.9430840502978,0.1157,0.00251833333333333
1,154,4.91,12.38,10.49,12.38,10.49,50.8400646203554,51.5059,1.01309666666667
1,155,0.45,14.03,11.61,14.03,11.61,49.6507483962937,5.2245,0.105225
1,158,0.46,15.51,12.73,15.51,12.73,49.2456479690522,5.8558,0.11891
1,164,2.35,11.58,8.35,12.55,8.35,43.2642487046632,19.6225,0.45355
1,222,1.84,11.85,9.49,11.85,9.49,48.0506329113924,17.4616,0.3634
1,223,0.34,12.41,10.48,12.41,10.48,50.668815471394,3.5632,0.0703233333333333
1,224,0.13,12.03,9.47,12.03,9.47,47.2319201995013,1.2311,0.026065
1,226,0.64,12.2,9.53,12.2,9.53,46.8688524590164,6.0992,0.130133333333333
1,227,0.9,11.82,9.5,11.82,9.5,48.2233502538071,8.55,0.1773
1,228,0.23,9.8,8.13,9.8,8.13,49.7755102040816,1.8699,0.0375666666666667
1,229,0.92,12.29,10.53,12.29,10.53,51.4076484947111,9.6876,0.188446666666667
1,237,0.31,14.72,11.85,14.72,11.85,48.3016304347826,3.6735,0.0760533333333333
1,238,1.21,12.11,9.69,12.11,9.69,48.0099091659785,11.7249,0.244218333333333
1,318,3.13,10.08,8.49,10.08,8.49,50.5357142857143,26.5737,0.52584
1,327,3.89,15.11,12.66,15.11,12.66,50.2713434811383,49.2474,0.979631666666667
1,344,1.53,12.75,10.72,12.75,10.72,50.4470588235294,16.4016,0.325125
1,345,0.29,12.37,9.97,12.37,9.97,48.3589329021827,2.8913,0.0597883333333333
2,142,0.92,14.17,8.72,14.17,8.72,36.9230769230769,8.0224,0.217273333333333
2,149,21.99,9.83,7.91,9.85,7.91,48.2807731434385,173.9409,3.602695
2,150,0.09,10.64,8.38,10.66,8.38,47.2556390977444,0.7542,0.01596
